SymbolReannotated EnsemblReannotated
LYZ ENSG00000090382
SSR2 ENSG00000163479
CDKN2B ENSG00000147883
MORN2 ENSG00000188010
AK092218 ENSG00000072849
DERL2 ENSG00000072849
LGMN ENSG00000100600
INO80C ENSG00000153391
C16orf61 ENSG00000103121
WWC1 ENSG00000113645
ABHD6 ENSG00000163686
CMTM3 ENSG00000140931
ANGPTL3 ENSG00000132855
LRRC16A ENSG00000079691
GALK2 ENSG00000156958
PLA2G4E ENSG00000188089
NDUFAF4 ENSG00000123545
SHC1 ENSG00000230889
DAD1 ENSG00000129562
GGTLC2 ENSG00000100121
GGT3P ENSG00000216522
ALOX5 ENSG00000012779
MAPKAPK2 ENSG00000162889
NDFIP2 ENSG00000102471
HSPH1 ENSG00000120694
PYGB ENSG00000100994
CR614803 ENSG00000235609
INSIG1 ENSG00000186480
CCDC57 ENSG00000176155
CSRNP1 ENSG00000144655
ATP6V0A2 ENSG00000185344
FZD4 ENSG00000174804
SELS ENSG00000131871
AP1G2 ENSG00000213983
LRIG1 ENSG00000144749
TMEM39A ENSG00000176142
WDYHV1 ENSG00000156795
TICAM2 ENSG00000251201
TMED10 ENSG00000170348
ANKRD54 ENSG00000100124
HS1BP3 ENSG00000118960
CHIA ENSG00000134216
C1orf151 ENSG00000158747
TSPAN13 ENSG00000106537
GOT1 ENSG00000120053
PFKFB4 ENSG00000114268
MAGEH1 ENSG00000187601
C6orf81 ENSG00000157343
PRH1-PRR4 ENSG00000111215
SLC41A1 ENSG00000133065
UGT2B4 ENSG00000156096
TMEM55A ENSG00000155099
LSS ENSG00000160285
IL20RA ENSG00000016402
ACLY ENSG00000131473
WHAMM ENSG00000156232
JMJD6 ENSG00000070495
GLIS3 ENSG00000107249
ENTPD7 ENSG00000198018
PGM3 ENSG00000013375
RABAC1 ENSG00000105404
RRS1 ENSG00000147576
ADHFE1 ENSG00000147576
HS6ST1 ENSG00000136720
DPH3 ENSG00000154813
UBQLN1 ENSG00000135018
DNAJC3 ENSG00000102580
BRP44 ENSG00000143158
SMAP1 ENSG00000112305
RHAG ENSG00000112077
SH3RF2 ENSG00000156463
TRIM5 ENSG00000132256
ALG14 ENSG00000172339
IFT52 ENSG00000101052
C16orf57 ENSG00000103005
RHBDD2 ENSG00000005486
ADH1A ENSG00000187758
CYP4B1 ENSG00000142973
C1orf183 ENSG00000197852
GJB1 ENSG00000169562
XPR1 ENSG00000143324
GCOM1 ENSG00000255529
ST6GALNAC1 ENSG00000070526
MUC20 ENSG00000176945
TMEM87B ENSG00000153214
SPINK13 ENSG00000214510
MYBPC1 ENSG00000196091
IDH3A ENSG00000166411
LOC220115 ENSG00000198384
AKIRIN1 ENSG00000174574
CGGBP1 ENSG00000163320
ITGA11 ENSG00000137809
LRRC8A ENSG00000136802
SNAP91 ENSG00000065609
SELK ENSG00000113811
LRSAM1 ENSG00000148356
LOC151162 ENSG00000152127
HBEGF ENSG00000113070
IMPAD1 ENSG00000104331
PHGR1 ENSG00000233041
ESRRA ENSG00000173153
PIR ENSG00000087842
SPG20 ENSG00000133104
CYB5A ENSG00000166347
SLC25A40 ENSG00000075303
TCEAL3 ENSG00000196507
APOL3 ENSG00000128284
ADRB1 ENSG00000043591
SC4MOL ENSG00000250229
TEX2 ENSG00000136478
ACOX1 ENSG00000161533
GREB1 ENSG00000196208
HGD ENSG00000113924
C17orf106-CDK3 ENSG00000108504
CFDP1 ENSG00000153774
KRT8 ENSG00000170421
SV2B ENSG00000185518
SETD3 ENSG00000183576
LAMA1 ENSG00000101680
TACC2 ENSG00000138162
LOC728723 ENSG00000250802
ACVR1 ENSG00000115170
CTSL1 ENSG00000135047
ADSS ENSG00000035687
APLN ENSG00000171388
PSEN2 ENSG00000143801
SLC22A4 ENSG00000197208
GCC2 ENSG00000135968
MBOAT2 ENSG00000143797
LAGE3 ENSG00000196976
PVRL2 ENSG00000240787
GALNT10 ENSG00000164574
SERPINA5 ENSG00000188488
NAT1 ENSG00000171428
BIK ENSG00000100290
CALU ENSG00000128595
CALM1 ENSG00000198668
ATG16L1 ENSG00000085978
C18orf1 ENSG00000168675
FOXA1 ENSG00000129514
TLN2 ENSG00000171914
OSTM1 ENSG00000081087
GOSR2 ENSG00000108433
KREMEN2 ENSG00000131650
CYTH1 ENSG00000108669
MLL3 ENSG00000055609
SLC1A5 ENSG00000105281
ZC3HAV1 ENSG00000105939
C8orf42 ENSG00000180190
PEX10 ENSG00000157911
CYP2U1 ENSG00000155016
CDC14B ENSG00000081377
RPN1 ENSG00000163902
ADRA2A ENSG00000150594
ARPC4 ENSG00000250151
ANXA5 ENSG00000164111
PER2 ENSG00000132326
TNFRSF10A ENSG00000104689
BACH2 ENSG00000112182
ARRDC1 ENSG00000197070
CYP2J2 ENSG00000134716
ST3GAL4 ENSG00000110080
DNAJC25 ENSG00000059769
GADD45B ENSG00000099860
GORASP2 ENSG00000115806
PITPNA ENSG00000174238
GCNT1 ENSG00000187210
EIF2AK3 ENSG00000172071
GRB10 ENSG00000106070
GSPT1 ENSG00000103342
EPSTI1 ENSG00000133106
MAST4 ENSG00000069020
SMPD1 ENSG00000166311
PLEKHF1 ENSG00000166289
FZD1 ENSG00000157240
RUNDC1 ENSG00000198863
COL8A1 ENSG00000144810
COPB2 ENSG00000184432
SEPHS2 ENSG00000179918
MID1IP1 ENSG00000165175
MALL ENSG00000144063
SH3GLB1 ENSG00000097033
SPCS3 ENSG00000129128
RBM45 ENSG00000155636
MIS12 ENSG00000167842
ASGR2 ENSG00000161944
CHMP1B ENSG00000255112
CHMP4A ENSG00000254505
THAP7 ENSG00000184436
HSPA13 ENSG00000155304
SLC38A10 ENSG00000157637
ITPKB ENSG00000143772
CHRM1 ENSG00000168539
ELOVL2 ENSG00000197977
CTBS ENSG00000117151
MAL ENSG00000172005
SLC22A3 ENSG00000146477
EIF2B2 ENSG00000119718
EIF2B4 ENSG00000115211
GOLPH3L ENSG00000143457
PRR5 ENSG00000186654
ARNTL ENSG00000133794
ZDHHC6 ENSG00000023041
AIFM1 ENSG00000156709
ALOX12B ENSG00000179477
GPR37 ENSG00000170775
ARF1 ENSG00000143761
HLA-H ENSG00000227669
SEMA6A ENSG00000092421
LYG1 ENSG00000144214
SLC35A2 ENSG00000102100
FAM129A ENSG00000135842
FECH ENSG00000066926
TBXAS1 ENSG00000059377
BC141517 ENSG00000197888
SNAI2 ENSG00000019549
TJP2 ENSG00000119139
LPCAT3 ENSG00000111684
CPEB3 ENSG00000107864
SLC41A2 ENSG00000136052
GPRC5D ENSG00000111291
UGT2B7 ENSG00000248635
LLPH ENSG00000139233
TMEM50B ENSG00000142188
UGT2B28 ENSG00000135226
C14orf43 ENSG00000156030
LUZP1 ENSG00000169641
SLC31A2 ENSG00000136867
C7orf53 ENSG00000181016
PAQR4 ENSG00000162073
CHCHD4 ENSG00000163528
ZCCHC6 ENSG00000083223
HCCS ENSG00000004961
CRY1 ENSG00000008405
SEC31A ENSG00000138674
ASAP3 ENSG00000088280
NUS1 ENSG00000234685
C9orf72 ENSG00000147894
EPDR1 ENSG00000086289
RBM18 ENSG00000119446
MCFD2 ENSG00000180398
BX104191 ENSG00000253696
ARHGAP28 ENSG00000088756
EDEM1 ENSG00000134109
TMEM192 ENSG00000170088
PGK1 ENSG00000102144
FAM196A ENSG00000188916
CYP1B1 ENSG00000138061
TBC1D10A ENSG00000099992
FAM86B1 ENSG00000145002
MUSK ENSG00000030304
SPOP ENSG00000121067
CYP20A1 ENSG00000119004
SMTN ENSG00000183963
MTFP1 ENSG00000242114
HK2 ENSG00000159399
NEBL ENSG00000078114
DLG2 ENSG00000150672
FBXO32 ENSG00000156804
RAB27A ENSG00000069974
FAM104B ENSG00000182518
NFX1 ENSG00000086102
C17orf79 ENSG00000172301
SNAP23 ENSG00000092531
TMED2 ENSG00000086598
GOLGA7B ENSG00000155265
AQP11 ENSG00000178301
MSI2 ENSG00000153944
SMPDL3A ENSG00000172594
AIMP2 ENSG00000106305
HOXA10 ENSG00000253293
HOXA10-HOXA9 ENSG00000253293
PDE12 ENSG00000174840
UVRAG ENSG00000198382
ADAMTS9 ENSG00000163638
SLC26A2 ENSG00000155850
ADRB2 ENSG00000169252
TG ENSG00000042832
HOXB13 ENSG00000159184
PLAGL1 ENSG00000118495
NA ENSG00000122882
C9orf116 ENSG00000160345
CRNKL1 ENSG00000101343
ZNF622 ENSG00000173545
LOC339240 ENSG00000205266
SASH1 ENSG00000111961
FA2H ENSG00000103089
PPP1R7 ENSG00000115685
PPP3CB ENSG00000107758
SRP54 ENSG00000100883
LACTB ENSG00000103642
ROR1 ENSG00000185483
CR594506 ENSG00000185483
LOX ENSG00000113083
PDE8B ENSG00000113231
SYT11 ENSG00000132718
FAM3C ENSG00000196937
LDHA ENSG00000134333
SYAP1 ENSG00000169895
CISH ENSG00000114737
KIAA0368 ENSG00000136813
CAPS ENSG00000105519
SS18 ENSG00000141380
ISG20L2 ENSG00000220748
FRAT2 ENSG00000181274
HIF1A ENSG00000100644
TRPM2 ENSG00000142185
PDZRN3 ENSG00000121440
RRAS2 ENSG00000133818
BCAR3 ENSG00000137936
TMED3 ENSG00000166557
NHP2L1 ENSG00000100138
ABAT ENSG00000183044
CSMD2 ENSG00000121904
NCEH1 ENSG00000144959
MORF4L2 ENSG00000123562
PREP ENSG00000085377
C2orf29 ENSG00000158435
CPEB2 ENSG00000137449
KRT72 ENSG00000170486
C4orf34 ENSG00000163683
MTMR9 ENSG00000104643
ChGn ENSG00000147408
FOS ENSG00000170345
PRKCQ ENSG00000065675
LMAN1 ENSG00000074695
MPZL2 ENSG00000149573
HMOX1 ENSG00000100292
TTC12 ENSG00000149292
CDH1 ENSG00000039068
RBM28 ENSG00000106344
VCL ENSG00000035403
PPP1R3D ENSG00000132825
AK128346 ENSG00000242086
BIRC5 ENSG00000089685
KCNG1 ENSG00000026559
C11orf54 ENSG00000182919
FGFR3 ENSG00000068078
PDCD4 ENSG00000150593
FBXW2 ENSG00000119402
RNF115 ENSG00000121848
MAP1B ENSG00000131711
FKBP14 ENSG00000106080
RHOT1 ENSG00000126858
NACC2 ENSG00000148411
MTL5 ENSG00000132749
LRRC1 ENSG00000137269
BET1L ENSG00000177951
PDCL3 ENSG00000115539
F2RL1 ENSG00000164251
RAP1A ENSG00000116473
BTBD3 ENSG00000132640
LCTL ENSG00000188501
AKR1B1 ENSG00000085662
SORT1 ENSG00000134243
CBS ENSG00000160200
DIO1 ENSG00000211452
YRDC ENSG00000196449
FZD8 ENSG00000177283
EDEM3 ENSG00000116406
MESP1 ENSG00000166823
DIRC2 ENSG00000138463
IRF2BP2 ENSG00000168264
TRPM8 ENSG00000144481
CDK6 ENSG00000105810
SLC16A6 ENSG00000108932
GNA12 ENSG00000146535
FAM153C ENSG00000204677
TRIM61 ENSG00000248632
CR613620 ENSG00000206527
RAB3D ENSG00000105514
DHTKD1 ENSG00000181192
TOMM40 ENSG00000130204
FAM153A ENSG00000182230
PPAPDC1B ENSG00000147535
ATP7B ENSG00000123191
CCDC85A ENSG00000055813
HABP4 ENSG00000130956
ATP2C2 ENSG00000064270
CHST7 ENSG00000147119
INTS6 ENSG00000102786
GREM1 ENSG00000166923
CEBPD ENSG00000221869
KCTD3 ENSG00000136636
ULK1 ENSG00000177169
PUS3 ENSG00000110060
TAF1B ENSG00000115750
FBXO7 ENSG00000100225
SLC39A11 ENSG00000133195
OCRL ENSG00000122126
C9orf66 ENSG00000183784
LRP11 ENSG00000120256
STARD13 ENSG00000133121
PHYHIPL ENSG00000165443
CSNK1A1 ENSG00000113712
ZNF565 ENSG00000196357
PSMB4 ENSG00000159377
MAP4K2 ENSG00000168067
ARCN1 ENSG00000095139
AF385432 ENSG00000196917
C12orf65 ENSG00000130921
ERP44 ENSG00000023318
LEAP2 ENSG00000164406
IQGAP2 ENSG00000145703
PDHA1 ENSG00000131828
GOLT1A ENSG00000174567
PPAP2A ENSG00000067113
FAM82A2 ENSG00000137824
FGD4 ENSG00000139132
RAB9B ENSG00000123570
ELL ENSG00000256989
METTL13 ENSG00000010165
SLC9A8 ENSG00000197818
BTG2 ENSG00000159388
FAM90A7 ENSG00000215373
RANBP10 ENSG00000141084
CBLL1 ENSG00000105879
SLCO3A1 ENSG00000176463
ATE1 ENSG00000107669
FYN ENSG00000010810
NEDD9 ENSG00000111859
ZNF397 ENSG00000186812
PDZD2 ENSG00000133401
PSPH ENSG00000146733
ZNF765 ENSG00000196417
CRISP2 ENSG00000124490
IQSEC1 ENSG00000144711
BCAT2 ENSG00000105552
NSMAF ENSG00000035681
CTNNA2 ENSG00000066032
FAM21C ENSG00000172661
ECI2 ENSG00000198721
BTLA ENSG00000186265
LRRN3 ENSG00000173114
USP18 ENSG00000184979
NPY ENSG00000122585
KLHL2 ENSG00000109466
C1orf112 ENSG00000000460
SNCA ENSG00000145335
ZNF485 ENSG00000198298
CTNNBIP1 ENSG00000178585
ROPN1B ENSG00000114547
C17orf58 ENSG00000186665
CYP2E1 ENSG00000130649
MKKS ENSG00000125863
NRBP2 ENSG00000185189
GABRA5 ENSG00000186297
SIM2 ENSG00000159263
NKX6-2 ENSG00000148826
PIGC ENSG00000135845
UST ENSG00000111962
TMEM181 ENSG00000146433
KIAA0664 ENSG00000132361
DLX1 ENSG00000144355
PPP6R3 ENSG00000110075
MCL1 ENSG00000143384
PHACTR3 ENSG00000087495
NSMCE4A ENSG00000107672
CIAO1 ENSG00000107672
FBXL20 ENSG00000108306
HPCAL4 ENSG00000116983
BG184208 ENSG00000250027
TMEM37 ENSG00000171227
FAM105B ENSG00000154124
ATG2B ENSG00000066739
PPM1B ENSG00000138032
SDCBP ENSG00000137575
TMEM56 ENSG00000152078
PHF6 ENSG00000156531
NTHL1 ENSG00000065057
EDN3 ENSG00000124205
CTNNB1 ENSG00000168036
TWSG1 ENSG00000128791
LIPA ENSG00000107798
ETNK2 ENSG00000143845
ACOX2 ENSG00000168306
FAM84A ENSG00000162981
SLC25A37 ENSG00000147454
PARVA ENSG00000197702
CHPT1 ENSG00000111666
MGLL ENSG00000074416
KLF9 ENSG00000119138
AKAP7 ENSG00000118507
BRSK1 ENSG00000160469
CTH ENSG00000116761
P/OKcl.19 ENSG00000240849
SYBU ENSG00000147642
KIAA0232 ENSG00000170871
RAB4B-EGLN2 ENSG00000171570
BCL7C ENSG00000099385
SYT17 ENSG00000103528
PDSS1 ENSG00000148459
ZNF30 ENSG00000168661
P4HA1 ENSG00000122884
PPFIBP1 ENSG00000110841
VPS33B ENSG00000184056
ARHGEF35 ENSG00000213214
SPIN3 ENSG00000204271
U2AF1 ENSG00000160201
CYB5D1 ENSG00000182224
MGC21881 ENSG00000170161
HNRNPA3 ENSG00000170144
PHACTR2 ENSG00000112419
FAM90A7 ENSG00000205879
MAP2K4 ENSG00000065559
PRPF19 ENSG00000110107
FAM178A ENSG00000119906
DSCR6 ENSG00000183145
MEAF6 ENSG00000163875
TSPAN15 ENSG00000099282
C9orf80 ENSG00000148153
TAF6 ENSG00000106290
FBLN1 ENSG00000077942
INPP1 ENSG00000151689
STX12 ENSG00000117758
HPN ENSG00000105707
ZNF275 ENSG00000063587
GDPD5 ENSG00000158555
ABI2 ENSG00000138443
CPNE1 ENSG00000244462
SFXN4 ENSG00000183605
TMEM39B ENSG00000121775
SMCR7L ENSG00000100335
TDRD7 ENSG00000196116
CKAP2 ENSG00000136108
NVL ENSG00000143748
MFSD2A ENSG00000168389
SNN ENSG00000184602
MPP6 ENSG00000105926
RHOC ENSG00000155366
RNF43 ENSG00000108375
ZFHX4 ENSG00000091656
MLEC ENSG00000110917
CDH10 ENSG00000040731
TRIM24 ENSG00000122779
PDLIM1 ENSG00000107438
HOXA5 ENSG00000106004
MOSC1 ENSG00000186205
ZRANB1 ENSG00000019995
SDHAP2 ENSG00000215837
TDRD9 ENSG00000156414
KCNN2 ENSG00000080709
BBS2 ENSG00000125124
WDFY3 ENSG00000163625
ZDHHC23 ENSG00000184307
CCDC86 ENSG00000110104
MTA3 ENSG00000057935
ING2 ENSG00000168556
PVRL3 ENSG00000177707
LONRF1 ENSG00000154359
UCK2 ENSG00000143179
MPHOSPH10 ENSG00000124383
ALS2CR4 ENSG00000155755
APPL2 ENSG00000136044
RNF213 ENSG00000173821
ZNF18 ENSG00000154957
LRRC8B ENSG00000197147
MGST1 ENSG00000008394
MTFMT ENSG00000103707
HOXA10 ENSG00000078399
PTGER4 ENSG00000171522
PNPO ENSG00000108439
SLC44A3 ENSG00000143036
CRY2 ENSG00000121671
FLJ39080 ENSG00000254349
IL17RB ENSG00000056736
CISD1 ENSG00000122873
SNIP1 ENSG00000163877
TMEM42 ENSG00000169964
ARL6IP5 ENSG00000144746
DERL1 ENSG00000136986
FRYL ENSG00000075539
CWH43 ENSG00000109182
TCEAL4 ENSG00000133142
MALT1 ENSG00000172175
ATP8B2 ENSG00000143515
RFWD2 ENSG00000143207
PGBD1 ENSG00000137338
SPSB1 ENSG00000171621
ZDHHC13 ENSG00000177054
ACP6 ENSG00000162836
MRPS30 ENSG00000112996
AGK ENSG00000006530
RRAGC ENSG00000116954
SH2D4A ENSG00000104611
FUBP1 ENSG00000162613
FERMT2 ENSG00000073712
VDR ENSG00000111424
HENMT1 ENSG00000162639
ORC1 ENSG00000085840
CHD2 ENSG00000173575
POLE2 ENSG00000100479
EIF4ENIF1 ENSG00000184708
KCNS3 ENSG00000170745
C3orf26 ENSG00000184220
C17orf85 ENSG00000074356
RPS6KA3 ENSG00000177189
MOCS1 ENSG00000124615
ENPP3 ENSG00000154269
LARS2 ENSG00000011376
KPNA4 ENSG00000186432
RASEF ENSG00000165105
CYR61 ENSG00000142871
ZC3HC1 ENSG00000091732
MEGF9 ENSG00000106780
DEGS1 ENSG00000143753
KDM5A ENSG00000073614
GPR161 ENSG00000143147
PTGER2 ENSG00000125384
NARG2 ENSG00000128915
HACL1 ENSG00000131373
ELK1 ENSG00000126767
CCDC50 ENSG00000152492
CCNY ENSG00000108100
PPP4R1 ENSG00000154845
ZCRB1 ENSG00000139168
LIN7A ENSG00000111052
RBBP6 ENSG00000122257
ZSWIM6 ENSG00000130449
ILDR1 ENSG00000145103
PCDHB17 ENSG00000255622
C3orf52 ENSG00000114529
TRAF3 ENSG00000131323
SOX9 ENSG00000125398
CNO ENSG00000186222
CDK2 ENSG00000123374
JARID2 ENSG00000008083
RABEPK ENSG00000136933
OXSR1 ENSG00000172939
PTPN13 ENSG00000163629
TUSC3 ENSG00000104723
TACSTD2 ENSG00000184292
KLHL8 ENSG00000145332
ATL1 ENSG00000198513
MAN2A1 ENSG00000112893
LONRF2 ENSG00000170500
SORBS2 ENSG00000154556
PUS1 ENSG00000177192
SLC25A43 ENSG00000077713
ABCC5 ENSG00000114770
IMMP2L ENSG00000184903
TARP ENSG00000227191
RHOBTB3 ENSG00000164292
RUFY3 ENSG00000018189
PAPSS1 ENSG00000138801
FOXO1 ENSG00000150907
ZAK ENSG00000091436
FAM3B ENSG00000183844
PDE7A ENSG00000205268
KLHL36 ENSG00000135686
IAH1 ENSG00000134330
TP53RK ENSG00000172315
PRDX1 ENSG00000117450
OSBPL6 ENSG00000079156
KDM1A ENSG00000004487
ARHGAP20 ENSG00000137727
FAM174B ENSG00000185442
DDX10 ENSG00000178105
DCBLD1 ENSG00000164465
WDR70 ENSG00000082068
SLC20A2 ENSG00000168575
AFTPH ENSG00000119844
WASL ENSG00000106299
LNX1 ENSG00000072201
FAM55C ENSG00000144815
CBLB ENSG00000114423
CDC7 ENSG00000097046
EIF2S1 ENSG00000134001
ZNF207 ENSG00000010244
GFOD1 ENSG00000145990
TRIM32 ENSG00000119401
IQCB1 ENSG00000173226
FUT8 ENSG00000033170
LYPD6 ENSG00000187123
GLUL ENSG00000135821
PLEKHA8P1 ENSG00000134297
AKAP13 ENSG00000170776
ATXN7L3B ENSG00000253719
IFT57 ENSG00000114446
FAM108C1 ENSG00000136379
CADPS ENSG00000163618
MAP6 ENSG00000171533
KCNJ2 ENSG00000123700
BRWD1 ENSG00000185658
PSRC1 ENSG00000134222
HPRT1 ENSG00000165704
ERP29 ENSG00000089248
LRRC20 ENSG00000172731
RAB4A ENSG00000213029
ACPP ENSG00000014257
CASK ENSG00000147044
ANO1 ENSG00000131620
C8orf51 ENSG00000254389
HERPUD2 ENSG00000122557
DAP3 ENSG00000132676
MAT2A ENSG00000168906
GLG1 ENSG00000090863
RNF135 ENSG00000181481
ERCC6 ENSG00000258838
ITGA9 ENSG00000144668
EIF4E3 ENSG00000163412
OLFM1 ENSG00000130558
ELP2 ENSG00000134759
SPRED1 ENSG00000166068
ATPAF1 ENSG00000123472
LPPR5 ENSG00000123472
RALB ENSG00000144118
SLC2A12 ENSG00000146411
GPC6 ENSG00000183098
WBP11 ENSG00000084463
TMEFF2 ENSG00000144339
GAR1 ENSG00000109534
PDCD2 ENSG00000071994
C15orf21 ENSG00000179362
ETS1 ENSG00000134954
PFAS ENSG00000178921
MSRB2 ENSG00000148450
SMARCA1 ENSG00000102038
BTBD11 ENSG00000151136
PTPN3 ENSG00000070159
PTPRA ENSG00000132670
KCNG1 ENSG00000248832
ZNF330 ENSG00000109445
SPINK1 ENSG00000164266
ARHGAP6 ENSG00000047648
ANTXR2 ENSG00000163297
KIAA0430 ENSG00000166783
C20orf30 ENSG00000089063
TUSC1 ENSG00000198680
CHST2 ENSG00000175040
FAM118B ENSG00000197798
COQ10A ENSG00000135469
RNF34 ENSG00000170633
